filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
Firewatch - 1.jpg	10	27	52.7929	131	48.7918	60	39.223
Firewatch - 2.jpg	2	54	23.8039	214	25.4273	193	12.4989
Firewatch - 5.png	3	91	55.1615	143	40.1742	104	31.1916
Firewatch Dusk Sky.jpg	1	46	13.1649	134	40.8759	141	15.8281
Firewatch Dusk.jpg	4	53	29.3437	183	39.2757	129	11.3836
Firewatch Mountain Dawn.jpg	6	105	86.8574	144	46.1582	102	46.5424
Firewatch Mountain Sunset.png	7	110	66.286	175	26.0137	231	102.816
Firewatch Sunset 2.png	8	111	66.5107	182	24.981	35	113.5243
Firewatch Sunset.jpg	9	122	68.7313	183	18.9479	205	112.4366
Genshin Beach 01.png	11	112	21.5738	64	36.0062	150	92.0221
Genshin Beach 02.png	12	206	30.3164	82	52.1368	134	50.5109
Genshin Beach 03.png	13	131	19.836	172	20.6045	147	9.0266
Genshin Cathedral Dawn.png	14	109	19.5993	174	14.721	152	4.9911
Genshin Cathedral Dusk.png	15	111	19.2506	165	22.3752	152	4.9531
Genshin Cathedral Noon.png	16	190	33.4711	169	49.9397	147	7.5651
Genshin Cathedral Sunset.png	17	112	19.4668	44	16.3059	212	53.6003
Genshin Cliff Dawn.png	18	112	32.0692	73	47.2625	123	25.8983
Genshin Cliff Dusk.png	19	104	20.777	166	14.4066	151	8.2745
Genshin Cliff Noon.png	20	190	47.3396	114	57.2606	146	53.5845
Genshin Cliff Sunset.png	21	117	27.0016	99	32.4189	156	79.952
Genshin Field Dawn.png	22	147	26.7837	145	36.559	80	31.0728
Genshin Field Dusk.png	23	114	23.6809	185	17.9487	110	23.3376
Genshin Field Noon.png	24	186	43.8021	156	40.0191	61	42.2476
Genshin Field Sunset.png	25	121	58.8569	171	53.8134	32	66.5466
Genshin House Dawn.png	26	95	45.8659	155	46.3897	93	29.8721
Genshin House Dusk.png	27	107	32.2654	170	41.2675	126	29.0145
Genshin House Noon.png	28	186	55.0563	140	48.0829	106	38.3577
Genshin Impact Sunset.png	29	128	58.7345	154	41.8746	24	53.795
Genshin Lake Dawn.png	30	169	14.4122	158	44.0731	139	14.8123
Genshin Lake Dusk.png	31	134	23.8506	175	19.3359	150	7.087
Genshin Lake Noon.png	32	202	27.9941	123	43.6637	142	15.3446
Genshin Lake Sunset.png	33	204	30.2614	91	30.1718	13	95.4111
Genshin Monster Hut Dusk.png	34	137	48.523	149	36.5897	147	24.8022
